"Care_Type","Under 1_no_2017","1_no_2017","2_no_2017","3_no_2017","4_no_2017","5_no_2017","6–8_no_2017","9–12_no_2017","Total_Children_No_No_2017","Under 1_prop_2017","1_prop_2017","2_prop_2017","3_prop_2017","4_prop_2017","5_prop_2017","6–8_prop_2017","9–12_prop_2017","Total_Children_Prop_No_2017","Under 1_error_2017","1_error_2017","2_error_2017","3_error_2017","4_error_2017","5_error_2017","6–8_error_2017","9–12_error_2017","Total_Children_Error_No_2017","Less than 5_no_2017","5–9_no_2017","10–19_no_2017","20–29_no_2017","30–34_no_2017","35–39_no_2017","40–44_no_2017","45 or more_no_2017","Total_Children_Hours_No_2017","NA_no_2017","Mean hours_no_2017","Median hours_no_2017","Less than 5_prop_2017","5–9_prop_2017","10–19_prop_2017","20–29_prop_2017","30–34_prop_2017","35–39_prop_2017","40–44_prop_2017","45 or more_prop_2017","Total_Children_Hours_Prop_2017","NA_prop_2017","Mean hours_prop_2017","Median hours_prop_2017","Less than 5_error_2017","5–9_error_2017","10–19_error_2017","20–29_error_2017","30–34_error_2017","35–39_error_2017","40–44_error_2017","45 or more_error_2017","Total_Children_Error_2017","NA_error_2017","Mean hours_error_2017","Median hours_error_2017","Less than $1000_no_2017","$1000–$1399_no_2017","$1400–$1999_no_2017","$2000–$2499_no_2017","$2500 or more_no_2017","TOTAL CHILDREN_no_2017","Less than $1000_prop_2017","$1000–$1399_prop_2017","$1400–$1999_prop_2017","$2000–$2499_prop_2017","$2500 or more_prop_2017","TOTAL CHILDREN_prop_2017","Less than $1000_error_2017","$1000–$1399_error_2017","$1400–$1999_error_2017","$2000–$2499_error_2017","$2500 or more_error_2017","Total_Children_Error_Error_2017","Under 1_no_2014","1_no_2014","2_no_2014","3_no_2014","4_no_2014","5_no_2014","6–8_no_2014","9–12_no_2014","Total_no_no_2014","Under 1_prop_2014","1_prop_2014","2_prop_2014","3_prop_2014","4_prop_2014","5_prop_2014","6–8_prop_2014","9–12_prop_2014","Total_no_prop_2014","Less than 5_no_2014","5–9_no_2014","10–19_no_2014","20–29_no_2014","30–34_no_2014","35–39_no_2014","40–44_no_2014","45 or more_no_2014","Total_no_hours_2014","Mean hours_no_2014","Median hours_no_2014","Less than 5_prop_2014","5–9_prop_2014","10–19_prop_2014","20–29_prop_2014","30–34_prop_2014","35–39_prop_2014","40–44_prop_2014","45 or more_prop_2014","Total_prop_hours_2014","Mean hours_prop_2014","Median hours_prop_2014","Less than $1000_no_2014","$1000–$1399_no_2014","$1400–$1999_no_2014","$2000–$2499_no_2014","$2500 or more_no_2014","Total_no_income_2014","Less than $1000_prop_2014","$1000–$1399_prop_2014","$1400–$1999_prop_2014","$2000–$2499_prop_2014","$2500 or more_prop_2014","Total_prop_income_2014","Under 1_no_2011","1_no_2011","2_no_2011","3_no_2011","4_no_2011","5_no_2011","6–8_no_2011","9–12_no_2011","Total_no_no_2011","Under 1_prop_2011","1_prop_2011","2_prop_2011","3_prop_2011","4_prop_2011","5_prop_2011","6–8_prop_2011","9–12_prop_2011","Total_no_prop_2011","Less than 5_no_2011","5–9_no_2011","10–19_no_2011","20–29_no_2011","30–34_no_2011","35–39_no_2011","40–44_no_2011","45 or more_no_2011","Total_hours_no_2011","Mean hours_no_2011","Median hours_no_2011","Less than 5_prop_2011","5–9_prop_2011","10–19_prop_2011","20–29_prop_2011","30–34_prop_2011","35–39_prop_2011","40–44_prop_2011","45 or more_prop_2011","Total_hours_prop_2011","Mean hours_prop_2011","Median hours_prop_2011","Less than $1000_no_2011","$1000–$1399_no_2011","$1400–$1999_no_2011","$2000–$2499_no_2011","$2500 or more_no_2011","Total_income_no_2011","Less than $1000_prop_2011","$1000–$1399_prop_2011","$1400–$1999_prop_2011","$2000–$2499_prop_2011","$2500 or more_prop_2011","Total_income_prop_2011"
"Before and/or after school care","0","0","0","0","11.6","56.5","190.09999999999999","108","363.69999999999999","0","0","0","0","3.6000000000000001","17.699999999999999","20.5","9","9.0999999999999996","0","0","0","0","1.5","3.2000000000000002","2.1000000000000001","1.3","0.69999999999999996","154.09999999999999","110.40000000000001","80.099999999999994","16.199999999999999","2.7000000000000002","0","0","0","363.69999999999999",,"7.0999999999999996","6","42.399999999999999","30.399999999999999","22","4.5","0.69999999999999996","0","0","0","100",,,,"6","4.5999999999999996","3.5","1.8",,"0","0","0","0",,,,"8.6999999999999993","16.199999999999999","29.399999999999999","48.299999999999997","147.09999999999999","290","2.7000000000000002","5.0999999999999996","5.2000000000000002","9.6999999999999993","14.5","8.6999999999999993","1.5","2.3999999999999999","1.3999999999999999","2","2.2999999999999998","0.80000000000000004","0","0","0","0","6.0999999999999996","47.799999999999997","136.5","105.59999999999999","298.80000000000001","0","0","0","0","2","15.6","15.300000000000001","9.4000000000000004","7.7999999999999998","147.69999999999999","83.599999999999994","51.200000000000003","11.300000000000001","2.2000000000000002","0","0","0","298.80000000000001","6.5999999999999996","5","49.399999999999999","28","17.100000000000001","3.7999999999999998","0.69999999999999996","0","0","0","100",,,"9.8000000000000007","14.699999999999999","34.100000000000001","44.5","103.8","233.09999999999999","2.8999999999999999","4.2000000000000002","5","10","12.800000000000001","7.4000000000000004","0","0","0","0","5.2000000000000002","38.600000000000001","138.69999999999999","98.599999999999994","281","0","0","0","0","1.8","13.699999999999999","17","9","7.7000000000000002","127.3","88","55.399999999999999","9.0999999999999996","1.3","0","0","0","281","6.4000000000000004","5","45.299999999999997","31.300000000000001","19.699999999999999","3.2000000000000002","0.5","0","0","0","100",,,"13.1","13.699999999999999","45.299999999999997","25.300000000000001","87","208.69999999999999","3.2000000000000002","3.1000000000000001","6.7999999999999998","6.5999999999999996","14","7"
"Did not usually attend care","214","119.59999999999999","90.900000000000006","87.900000000000006","127.8","161.90000000000001","490.30000000000001","742.20000000000005","2031.3","70.700000000000003","37.5","29","28.100000000000001","39.899999999999999","50.799999999999997","52.899999999999999","61.799999999999997","50.700000000000003","4.4000000000000004","4.2999999999999998","4.7999999999999998","4.2000000000000002","4.5","5","2.8999999999999999","2.2000000000000002","1.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"225.59999999999999","193.90000000000001","312.39999999999998","248","392.39999999999998","1730.7","70.900000000000006","61.100000000000001","55","50","38.799999999999997","52.200000000000003","4.2000000000000002","5.5999999999999996","4.5","4.9000000000000004","2.7999999999999998","1.7","220.40000000000001","122.8","98","80.099999999999994","113.90000000000001","158.80000000000001","505","699.60000000000002","1995.0999999999999","71.599999999999994","39.399999999999999","31.699999999999999","27","37.5","51.700000000000003","56.600000000000001","62.399999999999999","51.899999999999999",,,,,,,,,,,,,,,,,,,,,,,"227.69999999999999","214.30000000000001","362.19999999999999","196.40000000000001","367.39999999999998","1702.0999999999999","68.5","60.5","53.399999999999999","44.100000000000001","45.299999999999997","53.799999999999997","195.5","107.59999999999999","78.299999999999997","87.700000000000003","105.40000000000001","138","409.10000000000002","623.70000000000005","1745.3","67.5","37.399999999999999","26.399999999999999","29.899999999999999","37","49","50.200000000000003","56.700000000000003","47.799999999999997",,,,,,,,,,,,,,,,,,,,,,,"265.5","259.60000000000002","339.80000000000001","160.90000000000001","234","1512.4000000000001","65.400000000000006","58.5","51","41.700000000000003","37.600000000000001","50.799999999999997"
"Family day care","5.5","19.899999999999999","29.5","16.699999999999999","10.300000000000001","9.6999999999999993","12.5","7.9000000000000004","115","1.8","6.2000000000000002","9.4000000000000004","5.2999999999999998","3.2000000000000002","3","1.3","0.69999999999999996","2.8999999999999999","1.5","2.3999999999999999","2.8999999999999999","2.2999999999999998","1.5","1.8","0.69999999999999996","0.59999999999999998","0.5","5.5999999999999996","24.100000000000001","39.5","24.899999999999999","8","5.2000000000000002","4.9000000000000004","1.1000000000000001","115",,"18.300000000000001","16","4.9000000000000004","21","34.299999999999997","21.699999999999999","7","4.5","4.2999999999999998","1","100",,,,"4.0999999999999996","5.0999999999999996","8.3000000000000007","6.7999999999999998",,"4.0999999999999996","3.2999999999999998",,"0",,,,"12.9","12.4","17.5","7.2999999999999998","23.899999999999999","91.799999999999997","4.0999999999999996","3.8999999999999999","3.1000000000000001","1.5","2.3999999999999999","2.7999999999999998","2.7999999999999998","2","2.1000000000000001","1.2","0.80000000000000004","0.59999999999999998","4.2000000000000002","16.699999999999999","22.800000000000001","18.199999999999999","14.199999999999999","5.9000000000000004","9.4000000000000004","4.2000000000000002","96.5","1.3999999999999999","5.2999999999999998","7.4000000000000004","6.0999999999999996","4.7000000000000002","1.8999999999999999","1.1000000000000001","0.40000000000000002","2.5","5","19.899999999999999","31.600000000000001","19.800000000000001","5.2999999999999998","2.2000000000000002","5.2999999999999998","4.7999999999999998","96.5","18.800000000000001","16","5.2000000000000002","20.699999999999999","32.700000000000003","20.5","5.5","2.2999999999999998","5.5","5","100",,,"4","11.6","21.100000000000001","6.7000000000000002","15.699999999999999","71.900000000000006","1.2","3.2999999999999998","3.1000000000000001","1.5","1.8999999999999999","2.2999999999999998","3","13.5","23.800000000000001","15.4","12.4","4.5","6","2.2999999999999998","81","1","4.7000000000000002","8","5.2000000000000002","4.2999999999999998","1.6000000000000001","0.69999999999999996","0.20000000000000001","2.2000000000000002","5.2000000000000002","22.199999999999999","28.600000000000001","14","3.5","1.8","3.1000000000000001","2.6000000000000001","81","16.300000000000001","14","6.4000000000000004","27.5","35.299999999999997","17.199999999999999","4.2999999999999998","2.2000000000000002","3.7999999999999998","3.2000000000000002","100",,,"8.6999999999999993","12.5","14.300000000000001","11.9","10.4","64.299999999999997","2.1000000000000001","2.7999999999999998","2.2000000000000002","3.1000000000000001","1.7000000000000002","2.2000000000000002"
"Formal care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grandparent","59.299999999999997","103.7","92.799999999999997","78.700000000000003","75.599999999999994","70.400000000000006","191.69999999999999","200.40000000000001","864.5","19.600000000000001","32.5","29.600000000000001","25.199999999999999","23.600000000000001","22.100000000000001","20.699999999999999","16.699999999999999","21.600000000000001","4.5","3.6000000000000001","4.5","3.2999999999999998","3.7999999999999998","4.2000000000000002","2.3999999999999999","1.7","1.3","300.19999999999999","269.30000000000001","175.80000000000001","63.700000000000003","15.6","11.300000000000001","12.1","15.9","864.5",,"10.199999999999999","6.7999999999999998","34.700000000000003","31.199999999999999","20.300000000000001","7.4000000000000004","1.8","1.3","1.3999999999999999","1.8","100",,,,"3.8999999999999999","3.3999999999999999","2.5","1.8","0.90000000000000002","0.69999999999999996","0.80000000000000004","0.69999999999999996","0",,,,"40.899999999999999","45.200000000000003","132.90000000000001","136.30000000000001","268.19999999999999","726.39999999999998","12.800000000000001","14.300000000000001","23.399999999999999","27.5","26.5","21.899999999999999","4.0999999999999996","3.7000000000000002","4.4000000000000004","4.2999999999999998","2.5","1.3999999999999999","60.5","106.90000000000001","86.900000000000006","87.799999999999997","77.599999999999994","59.799999999999997","182.69999999999999","176.09999999999999","837.89999999999998","19.699999999999999","34.299999999999997","28.100000000000001","29.600000000000001","25.600000000000001","19.5","20.5","15.699999999999999","21.800000000000001","316.69999999999999","226.09999999999999","174.09999999999999","76.900000000000006","14","7.7000000000000002","9.8000000000000007","16.899999999999999","837.89999999999998","10.1","6","37.799999999999997","27","20.800000000000001","9.1999999999999993","1.7","0.90000000000000002","1.2","2","100",,,"39.700000000000003","59.799999999999997","161.90000000000001","118.90000000000001","196.30000000000001","683.39999999999998","11.9","16.899999999999999","23.899999999999999","26.699999999999999","24.199999999999999","21.600000000000001","65.5","103","99.299999999999997","84.599999999999994","84.5","75.099999999999994","196.5","228.5","937","22.600000000000001","35.799999999999997","33.5","28.899999999999999","29.699999999999999","26.600000000000001","24.100000000000001","20.800000000000001","25.699999999999999","481.89999999999998","212.80000000000001","148.80000000000001","58.899999999999999","7.9000000000000004","4.2000000000000002","6.7000000000000002","15.800000000000001","937","8","4","51.399999999999999","22.699999999999999","15.9","6.2999999999999998","0.80000000000000004","0.40000000000000002","0.69999999999999996","1.7000000000000002","100",,,"69.700000000000003","106.09999999999999","168.5","123.8","193.59999999999999","774.29999999999995","17.199999999999999","23.899999999999999","25.300000000000001","32.100000000000001","31.100000000000001","26"
"Informal care",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Long day care","29.5","113.3","151.69999999999999","159.09999999999999","121.09999999999999","25.100000000000001","2.1000000000000001","0","602","9.6999999999999993","35.5","48.299999999999997","50.899999999999999","37.799999999999997","7.9000000000000004","0.20000000000000001","0","15","2.8999999999999999","5.0999999999999996","5.2999999999999998","5.4000000000000004","4.5","2.6000000000000001",,"0","1","4.5999999999999996","88.700000000000003","226.5","153.09999999999999","44.5","21.199999999999999","35.100000000000001","28.199999999999999","602",,"20.899999999999999","18","0.80000000000000004","14.699999999999999","37.600000000000001","25.399999999999999","7.4000000000000004","3.5","5.7999999999999998","4.7000000000000002","100",,,,"0.69999999999999996","2.5","3.2000000000000002","3.2000000000000002","2.1000000000000001","1.5","1.5","1.7","0",,,,"27","48.5","99.400000000000006","79.900000000000006","205.40000000000001","529.89999999999998","8.5","15.300000000000001","17.5","16.100000000000001","20.300000000000001","16","3.2999999999999998","4.4000000000000004","2.3999999999999999","3","2.1000000000000001","1.1000000000000001","21.300000000000001","93.900000000000006","129.30000000000001","146.19999999999999","105.7","21.399999999999999","3.7999999999999998","0","520.20000000000005","6.9000000000000004","30.199999999999999","41.799999999999997","49.299999999999997","34.799999999999997","7","0.40000000000000002","0","13.5","8","80.299999999999997","181.69999999999999","133.5","41.799999999999997","20.300000000000001","21.399999999999999","29","520.20000000000005","20.899999999999999","18","1.5","15.4","34.899999999999999","25.699999999999999","8","3.8999999999999999","4.0999999999999996","5.5999999999999996","100",,,"31.100000000000001","46.200000000000003","101.5","80.799999999999997","141.09999999999999","449.60000000000002","9.4000000000000004","13.1","15","18.100000000000001","17.399999999999999","14.199999999999999","19.100000000000001","86.799999999999997","136.69999999999999","134.5","91.5","19.600000000000001","7.9000000000000004","0","496","6.5999999999999996","30.100000000000001","46.100000000000001","45.799999999999997","32.100000000000001","6.9000000000000004","1","0","13.6","6.5","91.799999999999997","187.69999999999999","110.3","34.799999999999997","14.699999999999999","26.5","23.699999999999999","496","19.899999999999999","16","1.3","18.5","37.799999999999997","22.199999999999999","7","3","5.2999999999999998","4.7999999999999998","100",,,"44","55.5","95.200000000000003","68.099999999999994","110.2","422.60000000000002","10.800000000000001","12.5","14.300000000000001","17.600000000000001","17.699999999999999","14.199999999999999"
"Non-resident parent","2.7000000000000002","3.2000000000000002","5.7000000000000002","7","12.6","15.1","51","72.400000000000006","170.09999999999999","0.90000000000000002","1","1.8","2.2000000000000002","3.8999999999999999","4.7000000000000002","5.5","6","4.2000000000000002",,"0.80000000000000004","1.6000000000000001","1.3999999999999999","1.8","2.2000000000000002","1.7","1.1000000000000001","0.69999999999999996","12.4","13","19.300000000000001","20.5","3.7999999999999998","6.2999999999999998","7.7000000000000002","83.299999999999997","170.09999999999999",,"51.100000000000001","47.600000000000001","7.2999999999999998","7.5999999999999996","11.300000000000001","12.1","2.2000000000000002","3.7000000000000002","4.5","49","100",,,,"3","4.7999999999999998","3.8999999999999999","5.7000000000000002",,"3.1000000000000001","2.7000000000000002","9.6999999999999993","0",,,,,,,,,,,,,,,,,,,,,,"0","4","7.5999999999999996","7.2999999999999998","13.699999999999999","15.1","43","53.5","143.40000000000001","0","1.3","2.3999999999999999","2.5","4.5","4.9000000000000004","4.7999999999999998","4.7999999999999998","3.7000000000000002","7.7999999999999998","7.4000000000000004","16","35","5.2999999999999998","7.2999999999999998","4.7999999999999998","57.200000000000003","143.40000000000001","41.600000000000001","35.200000000000003","5.5","5.2000000000000002","11.1","24.399999999999999","3.7000000000000002","5.0999999999999996","3.2999999999999998","39.899999999999999","100",,,,,,,,,,,,,,,"4.9000000000000004","9.6999999999999993","9.5999999999999996","18","18.600000000000001","22.300000000000001","65.599999999999994","104.90000000000001","253.5","1.7000000000000002","3.3999999999999999","3.2000000000000002","6.0999999999999996","6.5","7.9000000000000004","8.0999999999999996","9.5","7","29.5","20.5","34.399999999999999","59.799999999999997","17.5","9.6999999999999993","4.5","77.799999999999997","253.5","35.399999999999999","24","11.6","8.0999999999999996","13.6","23.600000000000001","6.9000000000000004","3.7999999999999998","1.8","30.699999999999999","100",,,,,,,,,,,,,,
"Occasional care",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.5","5.2999999999999998","3.2000000000000002","0.5","0","0","0","0","19.899999999999999",,"6.4000000000000004","5.5","52.799999999999997","26.600000000000001","16.100000000000001","2.5","0","0","0","0","100",,,,"19.800000000000001","20.300000000000001",,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8.5","5","0","0","0","0","0","0","15.9","5.5","4","53","31.399999999999999","0","0","0","0","0","0","100",,,,,,,,,,,,,,,"0","5","7.2999999999999998","5.5999999999999996","3.3999999999999999","0","1","0","22.399999999999999","0","1.7000000000000002","2.5","1.8999999999999999","1.2","0","0.10000000000000001","0","0.60000000000000009","11.9","6.5","4","0","0","0","0","0","22.399999999999999","5.4000000000000004","3","53.100000000000001","29","17.899999999999999","0","0","0","0","0","100",,,,,,,,,,,,,,
"Other person","6.7000000000000002","12.199999999999999","8.6999999999999993","11.6","12.699999999999999","7.5999999999999996","45.399999999999999","51.100000000000001","156.40000000000001","2.2000000000000002","3.7999999999999998","2.7999999999999998","3.7000000000000002","4","2.3999999999999999","4.9000000000000004","4.2999999999999998","3.8999999999999999","1.7","2.1000000000000001","2.2000000000000002","2.2000000000000002","2","1.5","1.2","1","0.59999999999999998","81.599999999999994","35.100000000000001","22.600000000000001","12.699999999999999","0","1.7","1.6000000000000001","1.8999999999999999","156.40000000000001",,"7.9000000000000004","4","52.200000000000003","22.399999999999999","14.5","8.0999999999999996","0","1.1000000000000001","1","1.2","100",,,,"6.7000000000000002","4.7999999999999998","4.9000000000000004","5.2000000000000002","0",,,,"0",,,,"7.2999999999999998","11","9.9000000000000004","10.4","65.5","124","2.2999999999999998","3.5","1.7","2.1000000000000001","6.5","3.7000000000000002","1.8999999999999999","2","1","1.5","1.7","0.69999999999999996","7.7999999999999998","13.300000000000001","10.800000000000001","9.6999999999999993","12.300000000000001","15","44.100000000000001","56.799999999999997","173.19999999999999","2.5","4.2999999999999998","3.5","3.2999999999999998","4.0999999999999996","4.9000000000000004","5","5.0999999999999996","4.5","83","41","27","11.4","0","0","2","3.7999999999999998","173.19999999999999","8","5","48","23.699999999999999","15.6","6.5999999999999996","0","0","1.2","2.2000000000000002","100",,,"11.6","5.9000000000000004","22.800000000000001","28.399999999999999","59.600000000000001","148.19999999999999","3.5","1.7","3.3999999999999999","6.4000000000000004","7.2999999999999998","4.7000000000000002","8.5","13.4","14.6","16.899999999999999","16.699999999999999","18.300000000000001","60.100000000000001","68.400000000000006","216.90000000000001","2.8999999999999999","4.5999999999999996","4.9000000000000004","5.7999999999999998","5.9000000000000004","6.5","7.4000000000000004","6.2000000000000002","5.9000000000000004","131.69999999999999","42.100000000000001","30","5.2000000000000002","1.3999999999999999",,,"3.6000000000000001","216.90000000000001","6.7999999999999998","3","60.700000000000003","19.399999999999999","13.9","2.3999999999999999","0.69999999999999996",,,"1.7000000000000002","100",,,"9.0999999999999996","17.399999999999999","37.700000000000003","15.5","76","176.09999999999999","2.2000000000000002","3.8999999999999999","5.7000000000000002","4","12.199999999999999","5.9000000000000004"
